DATE_TIME,TEMPERATURE,HUMIDITY,WIND,PRECIPITATION
3/19/2021 21:00,7.40555,90.06071,0,0.29661
3/19/2021 22:00,7.43591,89.35106,0,0.1966
3/19/2021 23:00,7.54943,88.18621,0,0.31362
3/20/2021 0:00,7.28491,89.57593,0,0.30278
3/20/2021 1:00,7.052,91.7641,0,0.33385
3/20/2021 2:00,6.998,92.15294,0,0.34471
3/20/2021 3:00,7.17663,92.41429,0,0.36114
3/20/2021 4:00,7.35369,91.32745,0,0.33902
3/20/2021 5:00,7.95779,87.94194,0,0.28403
3/20/2021 6:00,8.79655,83.73621,1.98552,0.15362
3/20/2021 7:00,10.02885,75.2477,3.27361,0
3/20/2021 8:00,11.25269,67.07,2.53615,0
3/20/2021 9:00,11.70466,65.055,2.92448,0
3/20/2021 10:00,12.30586,63.33086,2.69966,0
3/20/2021 11:00,11.97417,65.584,3.274,0
3/20/2021 12:00,10.97452,69.35071,4.19095,0
3/20/2021 13:00,10.21912,74.68702,3.75947,0.13474
3/20/2021 14:00,9.4836,79.862,3.874,0.3262
3/20/2021 15:00,9.16852,82.43607,3.67492,0.38459
3/20/2021 16:00,8.54622,82.91556,2.728,0.37889
3/20/2021 17:00,7.91537,85.84035,0,0.39158
3/20/2021 18:00,7.79052,88.08333,0,0.41429
3/20/2021 19:00,7.71056,87.34407,0,0.34322
3/20/2021 20:00,7.60248,90.144,0,0.3472
3/20/2021 21:00,7.53762,91.36,0,0.33164
3/20/2021 22:00,7.38645,90.63878,0,0.40061
3/20/2021 23:00,7.3127,88.57222,0,0.35537
3/21/2021 0:00,7.33637,89.58333,0,0.33292
3/21/2021 1:00,7.33289,91.13273,0,0.31018
3/21/2021 2:00,7.1118,92.90204,0,0.35776
3/21/2021 3:00,7.0191,91.17759,0,0.32414
3/21/2021 4:00,6.9458,92,0,0.31679
3/21/2021 5:00,6.95497,90.64667,0,0.32567
3/21/2021 6:00,7.27502,92,0,0.30849
3/21/2021 7:00,7.45915,95.88871,0,0.32355
3/21/2021 8:00,7.49555,97.07455,0,0.32436
3/21/2021 9:00,7.43174,96.57544,0,0.32702
3/21/2021 10:00,7.32953,95.33673,0,0.34184
3/21/2021 11:00,7.12492,96.155,0,0.40483
3/21/2021 12:00,7.01379,96.32326,0,0.34209
3/21/2021 13:00,6.96339,95.31579,0,0.39649
3/21/2021 14:00,6.98246,94.83333,0,0.35333
3/21/2021 15:00,7.01183,94.94746,0,0.40898
3/21/2021 16:00,6.92467,94.58431,0,0.42863
3/21/2021 17:00,6.80873,96.00167,0,0.33833
3/21/2021 18:00,6.89962,96.18723,0,0.11574
3/21/2021 19:00,7.02512,96.45167,0,0.30667
3/21/2021 20:00,7.17204,97.256,0,0.325
3/21/2021 21:00,7.2794,97.73158,0,0.34018
3/21/2021 22:00,7.45054,98.84286,0,0.35357
3/21/2021 23:00,7.77368,98.85614,0,0.28789
3/22/2021 0:00,7.96233,98.75102,0,0.27041
3/22/2021 1:00,7.96586,97.98644,0,0.24153
3/22/2021 2:00,8.04571,97.85536,0,0.25179
3/22/2021 3:00,8.25246,97.31967,0,0.16803
3/22/2021 4:00,8.7516,95.974,0,0.0236
3/22/2021 5:00,9.15016,94.94918,0.76344,0.00508
3/22/2021 6:00,9.18827,94.25385,1.94385,0
3/22/2021 7:00,9.43817,94.59333,1.85817,0.0145
3/22/2021 8:00,10.34389,91.02963,1.77148,0
3/22/2021 9:00,10.71224,89.94655,2.17414,0
3/22/2021 10:00,12.00078,86.02353,2.23353,0
3/22/2021 11:00,13.88121,78.32793,3.01138,0
3/22/2021 12:00,14.2,79.15143,4.56429,0
3/22/2021 13:00,9.78271,94.58305,5.90085,0.21305
3/22/2021 14:00,8.08871,98.97273,5.13418,0.23436
3/22/2021 15:00,7.64765,99.12833,0,0.2015
3/22/2021 16:00,7.3561,99.23846,0,0.14885
3/22/2021 17:00,7.55256,99.29836,0,0.12918
3/22/2021 18:00,7.7664,99.26222,0,0.16444
3/22/2021 19:00,7.02698,99.26066,0,0.22098
3/22/2021 20:00,6.46473,99.29615,0,0.17615
3/22/2021 21:00,6.13949,99.21803,0,0.17902
3/22/2021 22:00,6.14686,99.18627,0,0.04373
3/22/2021 23:00,6.79416,99.13273,0,0.20327
3/23/2021 0:00,6.7358,99.1,0,0.27536
3/23/2021 1:00,6.64582,99.16,0,0.1615
3/23/2021 2:00,6.4979,99.14407,0,0.37051
3/23/2021 3:00,6.49297,99.13793,0,0.4019
3/23/2021 4:00,6.65571,99.17455,0,0.31455
3/23/2021 5:00,6.85633,99.08833,0,0.30067
